Servicing option,Availability date,OS build,KB article
LTSB,2025-01-14,14393.7699,KB5049993
LTSB,2024-12-10,14393.7606,KB5048671
LTSB,2024-11-12,14393.7515,KB5046612
LTSB,2024-10-08,14393.7428,KB5044293
LTSB,2024-09-10,14393.7336,KB5043051
LTSB,2024-08-13,14393.7259,KB5041773
LTSB,2024-07-09,14393.7159,KB5040434
LTSB,2024-06-11,14393.707,KB5039214
LTSB,2024-05-14,14393.6981,KB5037763
LTSB,2024-04-09,14393.6897,KB5036899
LTSB,2024-03-22,14393.68,KB5037423
LTSB,2024-03-12,14393.6796,KB5035855
LTSB,2024-02-13,14393.6709,KB5034767
LTSB,2024-01-09,14393.6614,KB5034119
LTSB,2023-12-12,14393.6529,KB5033373
LTSB,2023-11-14,14393.6452,KB5032197
LTSB,2023-10-10,14393.6351,KB5031362
LTSB,2023-09-12,14393.6252,KB5030213
LTSB,2023-08-08,14393.6167,KB5029242
LTSB,2023-07-11,14393.6085,KB5028169
LTSB,2023-06-23,14393.5996,KB5028623
LTSB,2023-06-13,14393.5989,KB5027219
LTSB,2023-05-09,14393.5921,KB5026363
LTSB,2023-04-11,14393.585,KB5025228
LTSB,2023-03-14,14393.5786,KB5023697
LTSB,2023-02-14,14393.5717,KB5022838
LTSB,2023-01-10,14393.5648,KB5022289
LTSB,2022-12-13,14393.5582,KB5021235
LTSB,2022-11-17,14393.5502,KB5021654
LTSB,2022-11-08,14393.5501,KB5019964
LTSB,2022-10-18,14393.5429,KB5020439
LTSB,2022-10-11,14393.5427,KB5018411
LTSB,2022-09-13,14393.5356,KB5017305
LTSB,2022-08-09,14393.5291,KB5016622
LTSB,2022-07-12,14393.5246,KB5015808
LTSB,2022-06-14,14393.5192,KB5014702
LTSB,2022-05-19,14393.5127,KB5015019
LTSB,2022-05-10,14393.5125,KB5013952
LTSB,2022-04-12,14393.5066,KB5012596
LTSB,2022-03-08,14393.5006,KB5011495
LTSB,2022-02-08,14393.4946,KB5010359
LTSB,2022-01-17,14393.4889,KB5010790
LTSB,2022-01-11,14393.4886,KB5009546
LTSB,2022-01-05,14393.4827,KB5010195
LTSB,2021-12-14,14393.4825,KB5008207
LTSB,2021-11-14,14393.4771,KB5008601
LTSB,2021-11-09,14393.477,KB5007192
LTSB,2021-10-12,14393.4704,KB5006669
LTSB,2021-09-14,14393.4651,KB5005573
LTSB,2021-08-10,14393.4583,KB5005043
LTSB,2021-07-29,14393.4532,KB5005393
LTSB,2021-07-13,14393.453,KB5004238
LTSB,2021-07-07,14393.447,KB5004948
LTSB,2021-06-08,14393.4467,KB5003638
LTSB,2021-05-11,14393.4402,KB5003197
LTSB,2021-04-13,14393.435,KB5001347
LTSB,2021-03-18,14393.4288,KB5001633
LTSB,2021-03-09,14393.4283,KB5000803
LTSB,2021-02-09,14393.4225,KB4601318
LTSB,2021-01-12,14393.4169,KB4598243
LTSB,2020-12-08,14393.4104,KB4593226
LTSB,2020-11-19,14393.4048,KB4594441
LTSB,2020-11-10,14393.4046,KB4586830
LTSB,2020-10-13,14393.3986,KB4580346
LTSB,2020-09-08,14393.393,KB4577015
LTSB,2020-08-11,14393.3866,KB4571694
LTSB,2020-07-14,14393.3808,KB4565511
LTSB,2020-06-18,14393.3755,KB4567517
LTSB,2020-06-09,14393.375,KB4561616
LTSB,2020-05-12,14393.3686,KB4556813
LTSB,2020-04-21,14393.3659,KB4550947
LTSB,2020-04-14,14393.363,KB4550929
LTSB,2020-03-17,14393.3595,KB4541329
LTSB,2020-03-10,14393.3564,KB4540670
LTSB,2020-02-25,14393.3542,KB4537806
LTSB,2020-02-11,14393.3504,KB4537764
LTSB,2020-01-23,14393.3474,KB4534307
LTSB,2020-01-14,14393.3443,KB4534271
LTSB,2019-12-10,14393.3384,KB4530689
LTSB,2019-11-12,14393.3326,KB4525236
LTSB,2019-10-15,14393.33,KB4519979
LTSB,2019-10-08,14393.3274,KB4519998
LTSB,2019-10-03,14393.3243,KB4524152
LTSB,2019-09-24,14393.3242,KB4516061
LTSB,2019-09-23,14393.3206,KB4522010
LTSB,2019-09-10,14393.3204,KB4516044
LTSB,2019-08-17,14393.3181,KB4512495
LTSB,2019-08-13,14393.3144,KB4512517
LTSB,2019-07-16,14393.3115,KB4507459
LTSB,2019-07-09,14393.3085,KB4507460
LTSB,2019-06-27,14393.3056,KB4509475
LTSB,2019-06-18,14393.3053,KB4503294
LTSB,2019-06-11,14393.3025,KB4503267
LTSB,2019-05-23,14393.2999,KB4499177
LTSB,2019-05-19,14393.2972,KB4505052
LTSB,2019-05-14,14393.2969,KB4494440
LTSB,2019-04-25,14393.2941,KB4493473
LTSB,2019-04-25,14393.2908,KB4499418
LTSB,2019-04-09,14393.2906,KB4493470
LTSB,2019-03-19,14393.2879,KB4489889
LTSB,2019-03-12,14393.2848,KB4489882
LTSB,2019-02-19,14393.2828,KB4487006
LTSB,2019-02-12,14393.2791,KB4487026
LTSB,2019-01-17,14393.2759,KB4480977
LTSB,2019-01-08,14393.2724,KB4480961
LTSB,2018-12-19,14393.267,KB4483229
LTSB,2018-12-11,14393.2665,KB4471321
LTSB,2018-12-03,14393.2641,KB4478877
LTSB,2018-11-27,14393.2639,KB4467684
LTSB,2018-11-13,14393.2608,KB4467691
LTSB,2018-10-18,14393.258,KB4462928
LTSB,2018-10-09,14393.2551,KB4462917
LTSB,2018-09-20,14393.2515,KB4457127
LTSB,2018-09-11,14393.2485,KB4457131
LTSB,2018-08-30,14393.2457,KB4343884
LTSB,2018-08-14,14393.243,KB4343887
LTSB,2018-07-30,14393.2396,KB4346877
LTSB,2018-07-24,14393.2395,KB4338822
LTSB,2018-07-16,14393.2368,KB4345418
LTSB,2018-07-10,14393.2363,KB4338814
LTSB,2018-06-21,14393.2339,KB4284833
LTSB,2018-06-12,14393.2312,KB4284880
LTSB,2018-05-17,14393.2273,KB4103720
LTSB,2018-05-08,14393.2248,KB4103723
LTSB,2018-04-17,14393.2214,KB4093120
LTSB,2018-04-10,14393.2189,KB4093119
LTSB,2018-03-29,14393.2156,KB4096309
LTSB,2018-03-22,14393.2155,KB4088889
LTSB,2018-03-13,14393.2125,KB4088787
LTSB,2018-02-22,14393.2097,KB4077525
LTSB,2018-02-13,14393.2068,KB4074590
LTSB,2018-01-17,14393.2035,KB4057142
LTSB,2018-01-03,14393.2007,KB4056890
LTSB,2017-12-12,14393.1944,KB4053579
LTSB,2017-11-27,14393.1914,KB4051033
LTSB,2017-11-14,14393.1884,KB4048953
LTSB,2017-11-02,14393.1797,KB4052231
LTSB,2017-10-17,14393.1794,KB4041688
LTSB,2017-10-10,14393.177,KB4041691
LTSB,2017-09-28,14393.1737,KB4038801
LTSB,2017-09-12,14393.1715,KB4038782
LTSB,2017-08-28,14393.167,KB4039396
LTSB,2017-08-16,14393.1613,KB4034661
LTSB,2017-08-08,14393.1593,KB4034658
LTSB,2017-08-07,14393.1537,KB4038220
LTSB,2017-07-18,14393.1532,KB4025334
LTSB,2017-07-11,14393.148,KB4025339
LTSB,2017-06-27,14393.1378,KB4022723
LTSB,2017-06-13,14393.1358,KB4022715
LTSB,2017-05-09,14393.1198,KB4019472
LTSB,2017-04-11,14393.1066,KB4015217
LTSB,2017-03-20,14393.969,KB4015438
LTSB,2017-03-14,14393.953,KB4013429
LTSB,2017-01-10,14393.693,KB3213986
LTSB,2016-12-13,14393.576,KB3206632
LTSB,2016-12-09,14393.479,KB3201845
LTSB,2016-11-08,14393.447,KB3200970
LTSB,2016-10-27,14393.351,KB3197954
LTSB,2016-10-11,14393.321,KB3194798
LTSB,2016-09-29,14393.222,KB3194496
LTSB,2016-09-20,14393.187,KB3193494
LTSB,2016-09-13,14393.187,KB3189866
LTSB,2016-08-31,14393.105,KB3176938
LTSB,2016-08-23,14393.82,KB3176934
LTSB,2016-08-09,14393.51,KB3176495
LTSB,2016-08-02,14393.1,KB3176929
